Year,District,Neighborhood,RFD
2011,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,190.7
2016,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,187.5
2010,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,189.5
2014,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,191.8
2007,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,182.2
2015,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,188.9
2009,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,184.5
2017,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,184.6
2013,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,189.6
2012,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,187.9
2008,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,177.5
2013,Sarrià-Sant Gervasi,El Putxet i el Farró,142.2
2010,Sarrià-Sant Gervasi,El Putxet i el Farró,150.5
2017,Sarrià-Sant Gervasi,El Putxet i el Farró,144.6
2007,Sarrià-Sant Gervasi,El Putxet i el Farró,150.2
2012,Sarrià-Sant Gervasi,El Putxet i el Farró,138.2
2011,Sarrià-Sant Gervasi,El Putxet i el Farró,138.0
2015,Sarrià-Sant Gervasi,El Putxet i el Farró,141.0
2009,Sarrià-Sant Gervasi,El Putxet i el Farró,147.7
2016,Sarrià-Sant Gervasi,El Putxet i el Farró,140.6
2008,Sarrià-Sant Gervasi,El Putxet i el Farró,149.1
2014,Sarrià-Sant Gervasi,El Putxet i el Farró,140.2
2011,Sarrià-Sant Gervasi,Sarrià,180.7
2015,Sarrià-Sant Gervasi,Sarrià,199.1
2008,Sarrià-Sant Gervasi,Sarrià,172.4
2017,Sarrià-Sant Gervasi,Sarrià,193.6
2007,Sarrià-Sant Gervasi,Sarrià,174.9
2009,Sarrià-Sant Gervasi,Sarrià,176.1
2010,Sarrià-Sant Gervasi,Sarrià,177.8
2013,Sarrià-Sant Gervasi,Sarrià,196.1
2012,Sarrià-Sant Gervasi,Sarrià,189.8
2016,Sarrià-Sant Gervasi,Sarrià,186.6
2014,Sarrià-Sant Gervasi,Sarrià,195.2
2008,Les Corts,La Maternitat i Sant Ramon,129.8
2012,Les Corts,La Maternitat i Sant Ramon,109.3
2011,Les Corts,La Maternitat i Sant Ramon,110.6
2010,Les Corts,La Maternitat i Sant Ramon,125.3
2014,Les Corts,La Maternitat i Sant Ramon,112.6
2007,Les Corts,La Maternitat i Sant Ramon,127.9
2015,Les Corts,La Maternitat i Sant Ramon,109.9
2009,Les Corts,La Maternitat i Sant Ramon,128.1
2016,Les Corts,La Maternitat i Sant Ramon,114.3
2017,Les Corts,La Maternitat i Sant Ramon,114.2
2013,Les Corts,La Maternitat i Sant Ramon,118.7
2009,Sant Martí,la Vila Olímpica del Poblenou,141.1
2016,Sant Martí,la Vila Olímpica del Poblenou,162.0
2014,Sant Martí,la Vila Olímpica del Poblenou,150.8
2013,Sant Martí,la Vila Olímpica del Poblenou,151.6
2012,Sant Martí,la Vila Olímpica del Poblenou,146.6
2015,Sant Martí,la Vila Olímpica del Poblenou,150.2
2010,Sant Martí,la Vila Olímpica del Poblenou,134.9
2007,Sant Martí,la Vila Olímpica del Poblenou,132.8
2011,Sant Martí,la Vila Olímpica del Poblenou,146.0
2008,Sant Martí,la Vila Olímpica del Poblenou,133.3
2017,Sant Martí,la Vila Olímpica del Poblenou,164.2
2011,Sant Martí,la Verneda i la Pau,61.8
2009,Sant Martí,la Verneda i la Pau,67.8
2010,Sant Martí,la Verneda i la Pau,68.4
2013,Sant Martí,la Verneda i la Pau,56.1
2008,Sant Martí,la Verneda i la Pau,74.3
2017,Sant Martí,la Verneda i la Pau,57.0
2014,Sant Martí,la Verneda i la Pau,57.2
2007,Sant Martí,la Verneda i la Pau,74.8
2015,Sant Martí,la Verneda i la Pau,57.5
2016,Sant Martí,la Verneda i la Pau,58.8
2012,Sant Martí,la Verneda i la Pau,56.8
2011,Ciutat Vella,la Barceloneta,73.1
2016,Ciutat Vella,la Barceloneta,84.8
2017,Ciutat Vella,la Barceloneta,79.6
2007,Ciutat Vella,la Barceloneta,66.7
2013,Ciutat Vella,la Barceloneta,82.1
2014,Ciutat Vella,la Barceloneta,84.5
2015,Ciutat Vella,la Barceloneta,76.6
2009,Ciutat Vella,la Barceloneta,64.4
2010,Ciutat Vella,la Barceloneta,72.6
2008,Ciutat Vella,la Barceloneta,65.9
2012,Ciutat Vella,la Barceloneta,69.0
2012,Sants-Montjuïc,Sants - Badal,74.3
2015,Sants-Montjuïc,Sants - Badal,77.0
2014,Sants-Montjuïc,Sants - Badal,79.6
2013,Sants-Montjuïc,Sants - Badal,76.6
2009,Sants-Montjuïc,Sants - Badal,81.4
2010,Sants-Montjuïc,Sants - Badal,78.5
2011,Sants-Montjuïc,Sants - Badal,77.1
2016,Sants-Montjuïc,Sants - Badal,74.5
2008,Sants-Montjuïc,Sants - Badal,84.5
2017,Sants-Montjuïc,Sants - Badal,81.0
2007,Sants-Montjuïc,Sants - Badal,85.9
2011,Sants-Montjuïc,La Bordeta,71.1
2009,Sants-Montjuïc,La Bordeta,77.4
2013,Sants-Montjuïc,La Bordeta,71.4
2014,Sants-Montjuïc,La Bordeta,76.0
2007,Sants-Montjuïc,La Bordeta,81.9
2015,Sants-Montjuïc,La Bordeta,74.3
2016,Sants-Montjuïc,La Bordeta,73.6
2008,Sants-Montjuïc,La Bordeta,80.8
2012,Sants-Montjuïc,La Bordeta,72.9
2010,Sants-Montjuïc,La Bordeta,73.4
