Year,District,Neighborhood,RFD
2017,Sants-Montjuïc,La Bordeta,79.0
2012,Sants-Montjuïc,El Poble Sec - Parc de Montjuïc,80.7
2011,Sants-Montjuïc,El Poble Sec - Parc de Montjuïc,73.0
2010,Sants-Montjuïc,El Poble Sec - Parc de Montjuïc,66.6
2008,Sants-Montjuïc,El Poble Sec - Parc de Montjuïc,70.8
2017,Sants-Montjuïc,El Poble Sec - Parc de Montjuïc,82.2
2014,Sants-Montjuïc,El Poble Sec - Parc de Montjuïc,66.3
2015,Sants-Montjuïc,El Poble Sec - Parc de Montjuïc,74.3
2009,Sants-Montjuïc,El Poble Sec - Parc de Montjuïc,68.7
2016,Sants-Montjuïc,El Poble Sec - Parc de Montjuïc,76.1
2007,Sants-Montjuïc,El Poble Sec - Parc de Montjuïc,73.3
2013,Sants-Montjuïc,El Poble Sec - Parc de Montjuïc,71.0
2009,Gràcia,El Camp d'En Grassot i Gràcia Nova,101.7
2010,Gràcia,El Camp d'En Grassot i Gràcia Nova,100.0
2007,Gràcia,El Camp d'En Grassot i Gràcia Nova,104.3
2015,Gràcia,El Camp d'En Grassot i Gràcia Nova,103.0
2016,Gràcia,El Camp d'En Grassot i Gràcia Nova,108.1
2014,Gràcia,El Camp d'En Grassot i Gràcia Nova,103.7
2011,Gràcia,El Camp d'En Grassot i Gràcia Nova,98.2
2008,Gràcia,El Camp d'En Grassot i Gràcia Nova,102.6
2017,Gràcia,El Camp d'En Grassot i Gràcia Nova,105.7
2013,Gràcia,El Camp d'En Grassot i Gràcia Nova,101.0
2012,Gràcia,El Camp d'En Grassot i Gràcia Nova,98.6
2011,Gràcia,La Salut,109.8
2017,Gràcia,La Salut,109.9
2007,Gràcia,La Salut,113.0
2015,Gràcia,La Salut,114.4
2009,Gràcia,La Salut,110.1
2016,Gràcia,La Salut,116.4
2010,Gràcia,La Salut,111.7
2008,Gràcia,La Salut,111.0
2014,Gràcia,La Salut,107.3
2013,Gràcia,La Salut,113.5
2012,Gràcia,La Salut,117.4
2008,Horta Guinardó,El Baix Guinardó,96.4
2011,Horta Guinardó,El Baix Guinardó,89.9
2015,Horta Guinardó,El Baix Guinardó,90.4
2010,Horta Guinardó,El Baix Guinardó,94.9
2014,Horta Guinardó,El Baix Guinardó,86.6
2007,Horta Guinardó,El Baix Guinardó,96.6
2013,Horta Guinardó,El Baix Guinardó,83.6
2012,Horta Guinardó,El Baix Guinardó,85.3
2009,Horta Guinardó,El Baix Guinardó,92.8
2016,Horta Guinardó,El Baix Guinardó,92.0
2017,Horta Guinardó,El Baix Guinardó,92.0
2011,Horta Guinardó,El Guinardó,85.8
2015,Horta Guinardó,El Guinardó,82.7
2013,Horta Guinardó,El Guinardó,86.4
2009,Horta Guinardó,El Guinardó,87.8
2010,Horta Guinardó,El Guinardó,82.5
2008,Horta Guinardó,El Guinardó,92.2
2014,Horta Guinardó,El Guinardó,82.0
2012,Horta Guinardó,El Guinardó,89.8
2016,Horta Guinardó,El Guinardó,80.1
2017,Horta Guinardó,El Guinardó,79.1
2007,Horta Guinardó,El Guinardó,93.0
2016,Horta Guinardó,la Clota,91.4
2008,Horta Guinardó,la Clota,90.5
2015,Horta Guinardó,la Clota,89.3
2010,Horta Guinardó,la Clota,81.4
2017,Horta Guinardó,la Clota,93.5
2013,Horta Guinardó,la Clota,85.1
2011,Horta Guinardó,la Clota,79.5
2009,Horta Guinardó,la Clota,94.6
2014,Horta Guinardó,la Clota,90.1
2007,Horta Guinardó,la Clota,89.9
2012,Horta Guinardó,la Clota,78.5
2016,Nou Barris,Porta,62.5
2007,Nou Barris,Porta,75.3
2012,Nou Barris,Porta,60.5
2015,Nou Barris,Porta,61.4
2010,Nou Barris,Porta,70.7
2008,Nou Barris,Porta,74.2
2017,Nou Barris,Porta,64.4
2011,Nou Barris,Porta,63.9
2009,Nou Barris,Porta,70.2
2014,Nou Barris,Porta,58.3
2013,Nou Barris,Porta,61.3
2015,Nou Barris,Ciutat Meridiana - Torre Baró - Vallbona,34.5
2009,Nou Barris,Ciutat Meridiana - Torre Baró - Vallbona,53.9
2010,Nou Barris,Ciutat Meridiana - Torre Baró - Vallbona,49.7
2012,Nou Barris,Ciutat Meridiana - Torre Baró - Vallbona,37.5
2016,Nou Barris,Ciutat Meridiana - Torre Baró - Vallbona,34.3
2008,Nou Barris,Ciutat Meridiana - Torre Baró - Vallbona,58.8
2017,Nou Barris,Ciutat Meridiana - Torre Baró - Vallbona,38.6
2014,Nou Barris,Ciutat Meridiana - Torre Baró - Vallbona,39.2
2007,Nou Barris,Ciutat Meridiana - Torre Baró - Vallbona,59.4
2011,Nou Barris,Ciutat Meridiana - Torre Baró - Vallbona,39.9
2013,Nou Barris,Ciutat Meridiana - Torre Baró - Vallbona,43.2
2015,Nou Barris,Vilapicina i la Torre Llobeta,65.0
2009,Nou Barris,Vilapicina i la Torre Llobeta,80.1
2017,Nou Barris,Vilapicina i la Torre Llobeta,63.8
2008,Nou Barris,Vilapicina i la Torre Llobeta,81.7
2014,Nou Barris,Vilapicina i la Torre Llobeta,64.0
2007,Nou Barris,Vilapicina i la Torre Llobeta,83.0
2011,Nou Barris,Vilapicina i la Torre Llobeta,72.3
2013,Nou Barris,Vilapicina i la Torre Llobeta,71.1
2012,Nou Barris,Vilapicina i la Torre Llobeta,71.7
2016,Nou Barris,Vilapicina i la Torre Llobeta,63.7
2010,Nou Barris,Vilapicina i la Torre Llobeta,80.4
2016,Sant Andreu,Sant Andreu,77.0
2008,Sant Andreu,Sant Andreu,84.1
2010,Sant Andreu,Sant Andreu,78.6
2014,Sant Andreu,Sant Andreu,76.6
2012,Sant Andreu,Sant Andreu,77.6
2011,Sant Andreu,Sant Andreu,78.0
2015,Sant Andreu,Sant Andreu,75.6
2009,Sant Andreu,Sant Andreu,82.1
2017,Sant Andreu,Sant Andreu,77.7
2007,Sant Andreu,Sant Andreu,85.9
2013,Sant Andreu,Sant Andreu,79.3
2011,Sant Andreu,Navas,74.8
2015,Sant Andreu,Navas,85.8
2017,Sant Andreu,Navas,81.6
2009,Sant Andreu,Navas,86.9
2016,Sant Andreu,Navas,84.3
2008,Sant Andreu,Navas,91.0
2007,Sant Andreu,Navas,92.9
2010,Sant Andreu,Navas,81.4
2014,Sant Andreu,Navas,83.3
2013,Sant Andreu,Navas,75.4
2012,Sant Andreu,Navas,77.0
2010,Sant Andreu,Baró de Viver,39.4
2008,Sant Andreu,Baró de Viver,49.9
2017,Sant Andreu,Baró de Viver,68.9
2013,Sant Andreu,Baró de Viver,61.9
2011,Sant Andreu,Baró de Viver,50.8
2009,Sant Andreu,Baró de Viver,44.3
2016,Sant Andreu,Baró de Viver,72.6
2007,Sant Andreu,Baró de Viver,44.5
2012,Sant Andreu,Baró de Viver,52.4
2015,Sant Andreu,Baró de Viver,60.2
2014,Sant Andreu,Baró de Viver,60.5
2015,Sant Andreu,El Congrés i els Indians,70.1
2009,Sant Andreu,El Congrés i els Indians,78.6
2010,Sant Andreu,El Congrés i els Indians,76.0
2008,Sant Andreu,El Congrés i els Indians,83.6
2014,Sant Andreu,El Congrés i els Indians,72.7
2013,Sant Andreu,El Congrés i els Indians,73.7
2012,Sant Andreu,El Congrés i els Indians,72.3
2011,Sant Andreu,El Congrés i els Indians,72.9
2016,Sant Andreu,El Congrés i els Indians,71.7
2017,Sant Andreu,El Congrés i els Indians,75.1
2007,Sant Andreu,El Congrés i els Indians,86.5
2011,Eixample,Sant Antoni,95.9
2010,Eixample,Sant Antoni,95.4
2007,Eixample,Sant Antoni,103.8
2015,Eixample,Sant Antoni,98.6
2009,Eixample,Sant Antoni,99.5
2016,Eixample,Sant Antoni,104.0
2008,Eixample,Sant Antoni,102.9
2014,Eixample,Sant Antoni,97.8
2013,Eixample,Sant Antoni,102.5
2017,Eixample,Sant Antoni,104.2
2012,Eixample,Sant Antoni,94.8
2007,Eixample,L'Antiga Esquerra de l'Eixample,126.5
2011,Eixample,L'Antiga Esquerra de l'Eixample,121.3
2015,Eixample,L'Antiga Esquerra de l'Eixample,128.9
2008,Eixample,L'Antiga Esquerra de l'Eixample,122.8
2017,Eixample,L'Antiga Esquerra de l'Eixample,137.2
2014,Eixample,L'Antiga Esquerra de l'Eixample,127.8
2012,Eixample,L'Antiga Esquerra de l'Eixample,119.2
2009,Eixample,L'Antiga Esquerra de l'Eixample,122.6
2016,Eixample,L'Antiga Esquerra de l'Eixample,139.2
2010,Eixample,L'Antiga Esquerra de l'Eixample,125.9
2013,Eixample,L'Antiga Esquerra de l'Eixample,125.1
2008,Eixample,El Fort Pienc,108.3
2017,Eixample,El Fort Pienc,106.5
2013,Eixample,El Fort Pienc,99.0
2011,Eixample,El Fort Pienc,97.9
2015,Eixample,El Fort Pienc,104.8
2007,Eixample,El Fort Pienc,107.9
2009,Eixample,El Fort Pienc,109.1
2016,Eixample,El Fort Pienc,105.0
2010,Eixample,El Fort Pienc,108.5
2014,Eixample,El Fort Pienc,104.5
2012,Eixample,El Fort Pienc,98.0
2011,Eixample,La Sagrada Família,96.1
2009,Eixample,La Sagrada Família,98.4
2016,Eixample,La Sagrada Família,95.9
2010,Eixample,La Sagrada Família,97.3
2012,Eixample,La Sagrada Família,95.3
2015,Eixample,La Sagrada Família,95.8
2007,Eixample,La Sagrada Família,101.8
2008,Eixample,La Sagrada Família,100.7
2017,Eixample,La Sagrada Família,101.8
2014,Eixample,La Sagrada Família,92.4
2013,Eixample,La Sagrada Família,97.5
