Year,District,Neighborhood,RFD
2013,Nou Barris,Vallbona,41.7
2015,Sant Andreu,el Bon Pastor,58.0
2016,Sant Andreu,el Bon Pastor,62.0
2013,Sant Andreu,el Bon Pastor,71.8
2011,Sant Andreu,el Bon Pastor,63.0
2009,Sant Andreu,el Bon Pastor,57.1
2017,Sant Andreu,el Bon Pastor,65.1
2010,Sant Andreu,el Bon Pastor,51.8
2008,Sant Andreu,el Bon Pastor,64.8
2014,Sant Andreu,el Bon Pastor,59.6
2007,Sant Andreu,el Bon Pastor,66.2
2012,Sant Andreu,el Bon Pastor,67.3
2015,Sant Andreu,la Sagrera,76.8
2010,Sant Andreu,la Sagrera,80.4
2008,Sant Andreu,la Sagrera,85.3
2012,Sant Andreu,la Sagrera,72.9
2009,Sant Andreu,la Sagrera,81.2
2013,Sant Andreu,la Sagrera,74.3
2011,Sant Andreu,la Sagrera,76.7
2016,Sant Andreu,la Sagrera,77.9
2017,Sant Andreu,la Sagrera,77.1
2014,Sant Andreu,la Sagrera,74.9
2007,Sant Andreu,la Sagrera,88.1
2011,Sant Andreu,La Trinitat Vella,49.4
2009,Sant Andreu,La Trinitat Vella,69.9
2016,Sant Andreu,La Trinitat Vella,48.9
2017,Sant Andreu,La Trinitat Vella,47.1
2014,Sant Andreu,La Trinitat Vella,45.9
2015,Sant Andreu,La Trinitat Vella,43.1
2008,Sant Andreu,La Trinitat Vella,76.4
2007,Sant Andreu,La Trinitat Vella,74.8
2013,Sant Andreu,La Trinitat Vella,53.5
2012,Sant Andreu,La Trinitat Vella,52.2
2010,Sant Andreu,La Trinitat Vella,58.1
2016,Eixample,La Dreta de l'Eixample,170.0
2014,Eixample,La Dreta de l'Eixample,165.3
2011,Eixample,La Dreta de l'Eixample,151.7
2015,Eixample,La Dreta de l'Eixample,165.8
2009,Eixample,La Dreta de l'Eixample,143.6
2010,Eixample,La Dreta de l'Eixample,144.1
2007,Eixample,La Dreta de l'Eixample,137.6
2012,Eixample,La Dreta de l'Eixample,150.1
2008,Eixample,La Dreta de l'Eixample,138.0
2017,Eixample,La Dreta de l'Eixample,175.9
2013,Eixample,La Dreta de l'Eixample,165.7
2008,Eixample,La Nova Esquerra de l'Eixample,116.6
2017,Eixample,La Nova Esquerra de l'Eixample,110.2
2011,Eixample,La Nova Esquerra de l'Eixample,107.7
2016,Eixample,La Nova Esquerra de l'Eixample,105.3
2013,Eixample,La Nova Esquerra de l'Eixample,108.6
2015,Eixample,La Nova Esquerra de l'Eixample,103.8
2009,Eixample,La Nova Esquerra de l'Eixample,114.3
2010,Eixample,La Nova Esquerra de l'Eixample,115.2
2014,Eixample,La Nova Esquerra de l'Eixample,109.1
2007,Eixample,La Nova Esquerra de l'Eixample,116.9
2012,Eixample,La Nova Esquerra de l'Eixample,105.9
