District,Price,RFD
Les Corts,587139.053030303,126.7090909090909
El Gòtic,684378.1150159744,98.14545454545454
La Teixonera,235588.88888888888,71.89999999999999
Les Roquetes,178500.0,53.8
La Vall d'Hebron - La Clota,285600.0,92.30909090909091
Can Baró,431057.14285714284,81.53636363636363
El Carmel,224092.85714285713,60.86363636363637
Vallcarca i els Penitents,449645.56962025317,110.19090909090909
El Camp de l'Arpa del Clot,320000.0,83.96363636363638
La Trinitat Nova,159000.0,43.6
Sants,338708.45986984816,87.80000000000001
El Raval,367827.59,66.31818181818181
La Marina del Port,255299.76247030878,72.42727272727272
Les Tres Torres,1276585.0340136054,217.5
La Font d'En Fargues,339125.0,101.9
Canyelles,198000.0,64.53636363636365
