District,Price,RFD
La Dreta de l'Eixample,1123083.492063492,155.25454545454545
La Font de la Guatlla,383341.0358565737,82.03636363636366
La Nova Esquerra de l'Eixample,505027.65645514225,110.32727272727274
El Coll,253571.42857142858,88.71818181818182
Sant Genís Dels Agudells - Montbau,291735.29411764705,83.08181818181818
La Marina del Prat Vermell,312388.0,56.154545454545456
Hostafrancs,287855.1724137931,81.16363636363637
Sant Gervasi - Galvany,1056930.8510638298,191.56363636363633
Vila de Gràcia,712940.7894736842,104.8181818181818
Pedralbes,1830192.118226601,228.99999999999997
La Trinitat Vella,140642.85714285713,56.300000000000004
Verdun,157250.0,55.23636363636364
Horta,289633.3333333333,81.68181818181819
Can Peguera - El Turó de la Peira,238571.42857142858,49.845454545454544
La Prosperitat,166985.7142857143,60.88181818181818
