Year,Month,District,Neighborhood,Price
2020,02,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,1127851.851851852
2020,09,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,1042107.8431372549
2020,11,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,955218.75
2020,07,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,1073613.2075471699
2020,08,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,937833.3333333334
2021,02,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,988141.0256410256
2020,05,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,1070500.0
2020,12,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,1065125.0
2020,03,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,1081727.2727272727
2020,06,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,979884.6153846154
2020,10,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,1122600.0
2020,01,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,731285.7142857143
2020,04,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,810000.0
2021,01,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,999000.0
2020,02,Les Corts,Pedralbes,892450.0
2020,10,Les Corts,Pedralbes,1052785.7142857143
2020,09,Les Corts,Pedralbes,1096444.4444444445
2020,04,Les Corts,Pedralbes,1324166.6666666667
2020,08,Les Corts,Pedralbes,983806.4516129033
2020,01,Les Corts,Pedralbes,1096772.7272727273
2020,11,Les Corts,Pedralbes,738000.0
2020,03,Les Corts,Pedralbes,1081428.5714285714
2020,12,Les Corts,Pedralbes,1290000.0
2020,06,Les Corts,Pedralbes,1200000.0
2020,07,Les Corts,Pedralbes,1150000.0
2020,03,Sants-Montjuïc,La Font de la Guatlla,313171.4285714286
2020,06,Sants-Montjuïc,La Font de la Guatlla,333381.25
2020,08,Sants-Montjuïc,La Font de la Guatlla,312666.6666666667
2020,12,Sants-Montjuïc,La Font de la Guatlla,318675.0
2021,01,Sants-Montjuïc,La Font de la Guatlla,315722.22222222225
2020,04,Sants-Montjuïc,La Font de la Guatlla,199000.0
2020,07,Sants-Montjuïc,La Font de la Guatlla,199000.0
2020,10,Sants-Montjuïc,La Font de la Guatlla,190366.66666666666
2020,05,Sants-Montjuïc,La Font de la Guatlla,379000.0
2020,12,Sants-Montjuïc,Hostafrancs,276750.0
2020,08,Sants-Montjuïc,Hostafrancs,244375.0
2021,01,Sants-Montjuïc,Hostafrancs,215000.0
2020,03,Sants-Montjuïc,Hostafrancs,235125.0
2020,07,Sants-Montjuïc,Hostafrancs,193000.0
2020,05,Sants-Montjuïc,Hostafrancs,375000.0
2020,04,Sants-Montjuïc,Hostafrancs,280250.0
2020,03,Sants-Montjuïc,La Marina del Prat Vermell,290890.9090909091
2020,12,Sants-Montjuïc,La Marina del Prat Vermell,287491.6666666667
2020,06,Eixample,La Dreta de l'Eixample,1091500.0
2021,02,Eixample,La Dreta de l'Eixample,1061341.1067193677
2021,03,Eixample,La Dreta de l'Eixample,1063411.5740740742
2020,03,Eixample,La Dreta de l'Eixample,1053888.888888889
2021,01,Eixample,La Dreta de l'Eixample,1001250.0
2020,08,Eixample,La Dreta de l'Eixample,1326000.0
2020,10,Eixample,La Dreta de l'Eixample,944127.2727272727
2020,07,Eixample,La Dreta de l'Eixample,1206666.6666666667
2020,12,Eixample,La Dreta de l'Eixample,1099000.0
2020,11,Eixample,La Dreta de l'Eixample,1095000.0
2020,08,Eixample,La Nova Esquerra de l'Eixample,461208.3333333333
2020,12,Eixample,La Nova Esquerra de l'Eixample,426832.27642276423
2020,04,Eixample,La Nova Esquerra de l'Eixample,401200.0
2020,05,Eixample,La Nova Esquerra de l'Eixample,467818.1818181818
2021,01,Eixample,La Nova Esquerra de l'Eixample,631000.0
2020,11,Eixample,La Nova Esquerra de l'Eixample,457909.0909090909
2020,07,Eixample,La Nova Esquerra de l'Eixample,512620.6896551724
2020,06,Eixample,La Nova Esquerra de l'Eixample,567500.0
2020,10,Eixample,La Nova Esquerra de l'Eixample,567500.0
2020,03,Eixample,La Nova Esquerra de l'Eixample,567500.0
2020,08,Nou Barris,Verdun,157250.0
2020,07,Nou Barris,Can Peguera - El Turó de la Peira,235000.0
2020,08,Nou Barris,Can Peguera - El Turó de la Peira,243333.33333333334
2020,09,Nou Barris,Can Peguera - El Turó de la Peira,235000.0
2020,08,Nou Barris,La Prosperitat,167150.0
2020,09,Nou Barris,La Prosperitat,166000.0
2020,01,Gràcia,Vila de Gràcia,513933.3333333333
2020,08,Gràcia,Vila de Gràcia,667400.0
2021,02,Gràcia,Vila de Gràcia,612565.2173913043
2020,07,Gràcia,Vila de Gràcia,552300.0
2020,10,Gràcia,Vila de Gràcia,409655.1724137931
2020,09,Gràcia,Vila de Gràcia,662400.0
2020,06,Gràcia,Vila de Gràcia,573812.5
2020,12,Gràcia,Vila de Gràcia,399000.0
2020,03,Gràcia,Vila de Gràcia,456250.0
2021,01,Gràcia,Vila de Gràcia,1080000.0
