Year,Month,District,Neighborhood,Price
2020,11,Gràcia,El Coll,265000.0
2021,02,Gràcia,El Coll,345000.0
2020,05,Gràcia,El Coll,265000.0
2020,08,Gràcia,El Coll,185000.0
2020,07,Gràcia,El Coll,185000.0
2021,02,Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,769702.7027027027
2021,03,Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,754337.5
2020,03,Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,805000.0
2020,10,Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,695000.0
2020,05,Horta Guinardó,Sant Genís Dels Agudells - Montbau,176500.0
2020,08,Horta Guinardó,Sant Genís Dels Agudells - Montbau,176500.0
2020,02,Horta Guinardó,Sant Genís Dels Agudells - Montbau,246166.66666666666
2020,07,Horta Guinardó,Sant Genís Dels Agudells - Montbau,160000.0
2020,08,Horta Guinardó,Horta,344500.0
2020,02,Horta Guinardó,Horta,247571.42857142858
2020,07,Horta Guinardó,Horta,200000.0
2020,08,Sant Andreu,La Trinitat Vella,133800.0
2020,09,Sant Andreu,La Trinitat Vella,176000.0
