year,idDistrict,idNeighborhood,RFD,pop,Nou. Euros/m2 construït,Nou. Milers d'euros,Total. Euros/m2 construït,Total. Milers d'euros,Usat. Euros/m2 construït,Usat. Milers d'euros,kpi
2016,Horta Guinardó,Can Baró,96.0,8969,NA,NA,2157.1,164.9,2157.1,164.9,0.0445
2013,Horta Guinardó,Can Baró,74.2,8916,NA,NA,1823.4,192.6,1823.4,192.6,0.0407
2014,Horta Guinardó,Can Baró,77.4,8887,NA,NA,2118.8,178.3,2118.8,178.3,0.0365
2015,Horta Guinardó,Can Baró,88.1,8938,NA,NA,2101.1,129.1,2101.1,129.1,0.0419
2017,Horta Guinardó,Can Baró,83.3,9020,NA,NA,2423.7,221.3,2423.7,221.3,0.0344
2014,Horta Guinardó,Montbau,70.0,5082,1252.5,76.3,1581.4,92.5,1701,98.4,0.0443
2017,Horta Guinardó,Montbau,79.8,5171,2137.6,141,2198.8,140.8,2230.8,140.7,0.0363
2013,Horta Guinardó,Montbau,71.5,5134,1760.6,129,1794,140.4,1860.8,163.1,0.0399
2015,Horta Guinardó,Montbau,72.3,5070,1844.3,107.5,1695.3,101.6,1580.6,97,0.0426
2016,Horta Guinardó,Montbau,82.2,5101,1904.2,117.4,1905.4,123.4,1906.2,127.4,0.0431
2015,Horta Guinardó,El Baix Guinardó,90.4,25476,4301.5,302.9,3052.2,225.7,3010.8,223.2,0.0296
2014,Horta Guinardó,El Baix Guinardó,86.6,25587,2971.7,213.7,2546.2,201.1,2528.9,200.5,0.034
2013,Horta Guinardó,El Baix Guinardó,83.6,25676,2987.8,237.1,2331.7,176.4,2270,170.7,0.0359
2016,Horta Guinardó,El Baix Guinardó,92.0,25563,NA,NA,2991,222.8,2994.9,222.9,0.0308
2017,Horta Guinardó,El Baix Guinardó,92.0,25734,4065.2,385.6,3552,272.5,3518.3,265.1,0.0259
2014,Horta Guinardó,Sant Genís Dels Agudells - Montbau,80.0,6865,1328,100.4,1189.3,89.8,1102.7,83.1,0.0673
2017,Horta Guinardó,Sant Genís Dels Agudells - Montbau,84.1,6971,2242.1,234.2,2081,157.6,2045.2,140.6,0.0404
2016,Horta Guinardó,Sant Genís Dels Agudells - Montbau,86.3,6828,1844.1,127.3,1761.9,128.1,1734.5,128.3,0.049
2013,Horta Guinardó,Sant Genís Dels Agudells - Montbau,74.8,6918,1726.2,172.1,2073.9,184.7,2421.7,197.3,0.0361
2015,Horta Guinardó,Sant Genís Dels Agudells - Montbau,93.5,6693,2498.9,277,2008.3,190.7,1905,172.5,0.0466
2015,Gràcia,El Camp d'En Grassot i Gràcia Nova,103.0,34047,4410,392,3044.9,276.4,3023.6,274.6,0.0338
2016,Gràcia,El Camp d'En Grassot i Gràcia Nova,108.1,34275,4484.7,446.5,3705,375.6,3692.4,374.5,0.0292
2014,Gràcia,El Camp d'En Grassot i Gràcia Nova,103.7,34146,3712.7,268,2761.7,267.1,2725.7,267.1,0.0375
2017,Gràcia,El Camp d'En Grassot i Gràcia Nova,105.7,34431,2248.2,335,4005,362.5,4011.9,362.6,0.0264
2013,Gràcia,El Camp d'En Grassot i Gràcia Nova,101.0,34429,5097.6,319.1,2799.4,254.1,2736.3,252.3,0.0361
2015,Gràcia,Vallcarca i els Penitents,111.2,15508,2746.7,240.8,2737.3,252.2,2735,255,0.0406
2017,Gràcia,Vallcarca i els Penitents,112.5,15615,3735.1,350.7,3597.2,337.2,3564.8,334,0.0313
2014,Gràcia,Vallcarca i els Penitents,101.6,15454,2741.6,231.8,2300.7,199.8,1992.1,177.3,0.0442
2016,Gràcia,Vallcarca i els Penitents,112.9,15448,3283.5,319.2,3287.3,293.1,3288,288,0.0343
2013,Gràcia,Vallcarca i els Penitents,103.9,15479,2554.9,223.4,2618.7,227,2640,228.2,0.0397
2015,Sants-Montjuïc,La Font de la Guatlla,83.2,10355,NA,NA,2685.3,174.5,2685.3,174.5,0.031
2013,Sants-Montjuïc,La Font de la Guatlla,77.8,10307,3266,265.6,2543.5,179.3,2471.2,170.7,0.0306
2016,Sants-Montjuïc,La Font de la Guatlla,84.9,10316,NA,NA,2398.5,173.8,2398.5,173.8,0.0354
2014,Sants-Montjuïc,La Font de la Guatlla,77.6,10406,NA,NA,2188.7,158.6,2188.7,158.6,0.0355
2017,Sants-Montjuïc,La Font de la Guatlla,82.9,10422,NA,NA,3056.9,235.1,3056.9,235.1,0.0271
2014,Sants-Montjuïc,La Bordeta,76.0,18451,1589.3,124.5,1678.6,132.3,1727.3,136.6,0.0453
2015,Sants-Montjuïc,La Bordeta,74.3,18430,2732.7,219.7,2577,191.9,2174.7,120,0.0288
2013,Sants-Montjuïc,La Bordeta,71.4,18449,1524.6,107.4,1960.8,102.4,2097.2,100.8,0.0364
2016,Sants-Montjuïc,La Bordeta,73.6,18518,2691.9,213.7,2297.8,155.9,2254,149.5,0.032
2017,Sants-Montjuïc,La Bordeta,79.0,18561,3962.8,300.4,3803.9,288.1,2958.9,222.9,0.0208
2015,Nou Barris,Ciutat Meridiana - Torre Baró - Vallbona,34.5,10156,NA,NA,1040.8,60.2,1040.8,60.2,0.0331
2016,Nou Barris,Ciutat Meridiana - Torre Baró - Vallbona,34.3,10055,NA,NA,1084.7,61.8,1084.7,61.8,0.0316
2014,Nou Barris,Ciutat Meridiana - Torre Baró - Vallbona,39.2,10356,NA,NA,868.1,48.8,868.1,48.8,0.0452
2017,Nou Barris,Ciutat Meridiana - Torre Baró - Vallbona,38.6,10369,NA,NA,1216.1,77.1,1216.1,77.1,0.0317
2013,Nou Barris,Ciutat Meridiana - Torre Baró - Vallbona,43.2,10537,NA,NA,1208.9,73.5,1208.9,73.5,0.0357
2014,Nou Barris,la Guineueta,56.0,15090,NA,NA,1795.9,143.5,1795.9,143.5,0.0312
2013,Nou Barris,la Guineueta,54.5,15152,NA,NA,1824.7,133.1,1702.2,123.9,0.0299
2015,Nou Barris,la Guineueta,55.9,15074,NA,NA,1931.7,151.8,1931.7,151.8,0.0289
2016,Nou Barris,la Guineueta,54.4,15050,NA,NA,1904,143.1,1879.9,142.8,0.0286
2017,Nou Barris,la Guineueta,53.8,15247,NA,NA,2261.7,175,2245,172.7,0.0238
2016,Eixample,La Sagrada Família,95.9,51349,NA,NA,2785.8,205.9,2785.8,205.9,0.0344
2015,Eixample,La Sagrada Família,95.8,51347,NA,NA,2983.9,211.7,2983.9,211.7,0.0321
2017,Eixample,La Sagrada Família,101.8,51651,NA,NA,3494.5,255.8,3494.5,255.8,0.0291
2014,Eixample,La Sagrada Família,92.4,51562,3388.9,203.3,2502,145.3,2448.7,141.8,0.0369
2013,Eixample,La Sagrada Família,97.5,51725,3466.7,208,2938.7,192.4,2850.7,189.8,0.0332
2015,Eixample,L'Antiga Esquerra de l'Eixample,128.9,41696,4729.4,299.5,3757.2,334,3665.5,337.2,0.0343
2017,Eixample,L'Antiga Esquerra de l'Eixample,137.2,42512,4704.4,478.7,4218.9,372.2,4178.8,363.4,0.0325
2014,Eixample,L'Antiga Esquerra de l'Eixample,127.8,41975,5190.5,290,3099.3,284.1,3068,284.1,0.0412
2016,Eixample,L'Antiga Esquerra de l'Eixample,139.2,41872,4186,316.7,3923.1,374.3,3888.6,381.9,0.0355
2013,Eixample,L'Antiga Esquerra de l'Eixample,125.1,41843,4825,275.9,2760.2,239.2,2655.5,237.3,0.0453
