year,idDistrict,idNeighborhood,RFD,pop,Nou. Euros/m2 construït,Nou. Milers d'euros,Total. Euros/m2 construït,Total. Milers d'euros,Usat. Euros/m2 construït,Usat. Milers d'euros,kpi
2017,Sarrià-Sant Gervasi,El Putxet i el Farró,144.6,29617,4040.2,467.5,4839.6,523.2,4903.1,527.7,0.0299
2015,Sarrià-Sant Gervasi,El Putxet i el Farró,141.0,29149,2890.8,276.7,3139.1,360,3167.8,369.6,0.0449
2016,Sarrià-Sant Gervasi,El Putxet i el Farró,140.6,29318,3780.8,406.4,3749.1,398.2,3746.2,397.4,0.0375
2013,Sarrià-Sant Gervasi,El Putxet i el Farró,142.2,28883,2785.8,293.4,2763.1,303.3,2758.6,305.2,0.0515
2014,Sarrià-Sant Gervasi,El Putxet i el Farró,140.2,29041,2705.6,305.1,2904,328.6,2935.9,332.4,0.0483
2016,Ciutat Vella,la Barceloneta,84.8,15068,4477.2,409.5,4151.9,212.2,4109.5,186.4,0.0204
2017,Ciutat Vella,la Barceloneta,79.6,15101,3967.5,192.8,4501.1,197.7,4551.3,198.2,0.0177
2013,Ciutat Vella,la Barceloneta,82.1,15571,4062.8,228.7,3476.3,175.5,2861.3,119.7,0.0236
2014,Ciutat Vella,la Barceloneta,84.5,15181,4292.5,216.9,3744.9,166,3493.3,142.6,0.0226
2015,Ciutat Vella,la Barceloneta,76.6,15036,3587,148,3474.4,150.3,3449.7,150.8,0.022
2013,Ciutat Vella,El Gòtic,103.6,16327,3248.7,285.2,2448.2,212.4,2239.7,193.4,0.0423
2015,Ciutat Vella,El Gòtic,108.5,15269,2331.6,355.7,3193.4,386.3,3404.2,393.8,0.034
2016,Ciutat Vella,El Gòtic,110.5,15729,4700.7,409.2,4149.4,422.8,3862.5,430,0.0266
2017,Ciutat Vella,El Gòtic,106.1,16240,5397.4,799.5,4565.8,472.7,4441.9,424,0.0232
2014,Ciutat Vella,El Gòtic,98.5,15911,3063.2,240.3,2784.9,277.7,2730.3,285,0.0354
2013,Horta Guinardó,El Guinardó,86.4,35790,NA,NA,2009.4,143.1,2009.4,143.1,0.043
2017,Horta Guinardó,El Guinardó,79.1,36538,NA,NA,2742.6,202.2,2740,201.8,0.0288
2015,Horta Guinardó,El Guinardó,82.7,36073,3115.9,343.3,2198.5,173.1,2184.1,170.4,0.0376
2014,Horta Guinardó,El Guinardó,82.0,35698,3300.7,347.1,2164.8,169.1,2130.7,163.7,0.0379
2016,Horta Guinardó,El Guinardó,80.1,36176,NA,NA,2443.2,186.9,2411.4,182.6,0.0328
2016,Horta Guinardó,la Clota,91.4,590,342.6,160,342.6,160,NA,NA,0.2668
2015,Horta Guinardó,la Clota,89.3,568,NA,NA,1711.3,118.3,1711.3,118.3,0.0522
2017,Horta Guinardó,la Clota,93.5,611,NA,NA,NA,NA,NA,NA,
2013,Horta Guinardó,la Clota,85.1,504,NA,NA,1723.6,108,NA,NA,0.0494
2014,Horta Guinardó,la Clota,90.1,529,1494.7,90.4,1826.9,124.5,2076.1,150,0.0493
2016,Horta Guinardó,El Carmel,54.5,31377,1832.2,117.2,1765.4,113.3,1744.3,112.1,0.0309
2013,Horta Guinardó,El Carmel,54.4,32181,1792,111.4,1656.4,106.6,1554.7,103,0.0328
2014,Horta Guinardó,El Carmel,56.6,31728,1528.4,149.6,1523.5,119,1521.3,105.3,0.0372
