year,idDistrict,idNeighborhood,RFD,pop,Nou. Euros/m2 construït,Nou. Milers d'euros,Total. Euros/m2 construït,Total. Milers d'euros,Usat. Euros/m2 construït,Usat. Milers d'euros,kpi
2014,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,192.1,46648,4111,546.3,3518.1,467,3279.3,435.1,0.0546
2013,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,195.6,46628,3109.1,414.6,3471.3,498.2,3628.5,534.6,0.0563
2016,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,198.3,47156,4743,638.9,4416.5,582,4336,568,0.0449
2015,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,205.1,46968,4506.9,493.3,4176.3,551,4063.3,570.7,0.0491
2017,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,192.1,47753,4736,593.3,4787.6,583.6,4797.6,581.7,0.0401
2015,Sarrià-Sant Gervasi,Sarrià,199.1,24614,3790.2,419.6,4817.6,607.7,4854.6,614.5,0.0413
2017,Sarrià-Sant Gervasi,Sarrià,193.6,25106,NA,NA,6159.2,690.1,6177.7,690.2,0.0314
2013,Sarrià-Sant Gervasi,Sarrià,196.1,24582,2890.1,493.9,4311.6,542.6,4431.3,546.7,0.0455
2016,Sarrià-Sant Gervasi,Sarrià,186.6,24810,NA,NA,4514.9,512.8,4514.9,512.8,0.0413
2014,Sarrià-Sant Gervasi,Sarrià,195.2,24691,NA,NA,4309.4,526.6,4309.4,526.6,0.0453
2013,Ciutat Vella,El Raval,60.3,49225,NA,NA,1726.5,97,1726.5,97,0.0349
2015,Ciutat Vella,El Raval,75.8,47617,NA,NA,2401.9,193.8,2401.9,193.8,0.0316
2014,Ciutat Vella,El Raval,65.9,48471,2534.3,99.1,2087.6,141.7,2073.5,143.1,0.0316
2016,Ciutat Vella,El Raval,74.6,47274,NA,NA,2805.2,181,2798.6,180.7,0.0266
2017,Ciutat Vella,El Raval,71.2,47986,3633.1,292.5,3469.9,240.3,3468.9,240,0.0205
2013,Horta Guinardó,Horta,83.1,26543,2242.1,158.6,2179.8,157.9,2160.3,157.7,0.0381
2014,Horta Guinardó,Horta,82.2,26591,1794,110.4,1730.5,136,1716.2,141.7,0.0475
2016,Horta Guinardó,Horta,80.6,26597,3356.1,263.7,2698.8,210.8,2171.7,168.3,0.0299
2017,Horta Guinardó,Horta,79.8,26743,2713.5,205.4,2602.4,192.9,2573.5,189.6,0.0307
2015,Horta Guinardó,Horta,80.9,26624,1775.6,133.1,2110.8,152.2,2185.3,156.4,0.0383
2015,Horta Guinardó,La Font d'En Fargues,95.2,9443,2243.6,182.9,2684,234.8,2728,240,0.0355
2014,Horta Guinardó,La Font d'En Fargues,102.0,9467,NA,NA,2552.6,206.2,2564,205.4,0.04
2016,Horta Guinardó,La Font d'En Fargues,94.8,9402,2494.7,196,2461,249.7,2457.3,255.6,0.0385
2017,Horta Guinardó,La Font d'En Fargues,92.5,9390,3229.6,274.6,3397.6,277.3,3420.5,277.7,0.0272
2013,Horta Guinardó,La Font d'En Fargues,108.6,9482,NA,NA,3522,246.4,3582.8,251.9,0.0308
2013,Les Corts,Pedralbes,243.9,11784,6834.3,1642,4406.9,733.9,4230.4,667.8,0.0553
2015,Les Corts,Pedralbes,250.5,11763,7786.2,1421,5191.6,793.5,5011.5,750,0.0483
2014,Les Corts,Pedralbes,251.7,11670,NA,NA,5183.6,831.9,5133.9,818,0.0486
2017,Les Corts,Pedralbes,248.8,12117,NA,NA,5290.3,890,5290.3,890,0.047
2016,Les Corts,Pedralbes,242.4,11864,NA,NA,4480,659.7,4454.8,650.3,0.0541
2014,Les Corts,La Maternitat i Sant Ramon,112.6,23735,3920.3,296.3,3155.6,285.7,3048.7,284.2,0.0357
2016,Les Corts,La Maternitat i Sant Ramon,114.3,23868,4064.1,380.5,3435.3,329.9,3355.6,323.5,0.0333
2017,Les Corts,La Maternitat i Sant Ramon,114.2,23980,NA,NA,4018.5,369.9,3995.1,374,0.0284
2015,Les Corts,La Maternitat i Sant Ramon,109.9,23845,3928.3,325.8,3217,302.6,3036,296.7,0.0342
2013,Les Corts,La Maternitat i Sant Ramon,118.7,23653,NA,NA,2890.5,266.7,2890.5,266.7,0.0411
2016,Sant Andreu,La Trinitat Vella,48.9,10048,NA,NA,1945.8,141,1945.8,141,0.0251
2014,Sant Andreu,La Trinitat Vella,45.9,10268,4490.7,437.9,1878.7,146.1,1808.1,138.2,0.0244
2013,Sant Andreu,La Trinitat Vella,53.5,10418,NA,NA,1986.2,165.1,1986.2,165.1,0.0269
2017,Sant Andreu,La Trinitat Vella,47.1,10006,NA,NA,2057.9,142.3,2057.9,142.3,0.0229
2015,Sant Andreu,La Trinitat Vella,43.1,10210,NA,NA,1838.2,138.9,1812.3,135.4,0.0234
2014,Sant Andreu,Sant Andreu,76.6,56496,NA,NA,2024.7,134.8,2025.1,134.8,0.0378
2015,Sant Andreu,Sant Andreu,75.6,56682,NA,NA,2216.6,158,2216.6,158,0.0341
2017,Sant Andreu,Sant Andreu,77.7,57223,NA,NA,2781.2,212,2781.9,212.1,0.0279
2016,Sant Andreu,Sant Andreu,77.0,56695,NA,NA,2346.7,167.3,2349.2,167.4,0.0328
2013,Sant Andreu,Sant Andreu,79.3,56280,1255.5,73,2069.6,151.6,2084.1,153,0.0383
2015,Sant Andreu,la Sagrera,76.8,29020,NA,NA,2460.9,179.6,2466.6,181,0.0312
2013,Sant Andreu,la Sagrera,74.3,28827,4184.8,568.8,2237.6,174.1,2135.1,153.3,0.0332
2016,Sant Andreu,la Sagrera,77.9,28710,NA,NA,2649.1,201.3,2649.1,201.3,0.0294
2017,Sant Andreu,la Sagrera,77.1,29031,NA,NA,3303.8,231.6,3303.8,231.6,0.0233
2014,Sant Andreu,la Sagrera,74.9,28914,NA,NA,2182.2,153.6,2175.4,152.1,0.0343
2017,Sant Andreu,Baró de Viver,68.9,2539,NA,NA,2763,265,2763,265,0.0249
2013,Sant Andreu,Baró de Viver,61.9,2438,NA,NA,2583.2,299.7,2583.2,299.7,0.024
2016,Sant Andreu,Baró de Viver,72.6,2511,NA,NA,3111.9,271.7,3111.9,271.7,0.0233
2015,Sant Andreu,Baró de Viver,60.2,2482,NA,NA,2758.5,261.8,2758.5,261.8,0.0218
2014,Sant Andreu,Baró de Viver,60.5,2508,NA,NA,NA,NA,NA,NA,
2016,Sants-Montjuïc,Sants,92.3,40831,2886.8,227.2,2984.8,222.8,2992.9,222.5,0.0309
2014,Sants-Montjuïc,Sants,85.8,41102,2268,149.6,2185.6,151.2,2177,151.3,0.0393
2015,Sants-Montjuïc,Sants,88.2,40889,NA,NA,2391.8,166.6,2443,170.6,0.0369
2017,Sants-Montjuïc,Sants,99.0,41244,3635.4,230,4683.4,338.3,4743,344.4,0.0211
