year,idDistrict,idNeighborhood,RFD,pop,Nou. Euros/m2 construït,Nou. Milers d'euros,Total. Euros/m2 construït,Total. Milers d'euros,Usat. Euros/m2 construït,Usat. Milers d'euros,kpi
2016,Nou Barris,Vallbona,51.9,1354,NA,NA,1594.1,123.9,1594.1,123.9,0.0326
2016,Sant Martí,la Vila Olímpica del Poblenou,162.0,9346,NA,NA,4550.7,466.2,4550.7,466.2,0.0356
2014,Sant Martí,la Vila Olímpica del Poblenou,150.8,9391,2939.9,298.1,2805.3,283.8,2757.2,278.7,0.0538
2017,Sant Martí,la Vila Olímpica del Poblenou,164.2,9404,NA,NA,4315.3,492.1,4315.3,492.1,0.0381
2013,Sant Martí,la Vila Olímpica del Poblenou,151.6,9367,NA,NA,3847.3,373.4,3837.7,398.7,0.0394
2015,Sant Martí,la Vila Olímpica del Poblenou,150.2,9261,NA,NA,3925.6,383.8,3929.3,400.1,0.0383
2016,Sant Martí,el Parc i la Llacuna del Poblenou,92.1,14861,3313.8,346.7,3129.7,250.5,3089.1,229.4,0.0294
2017,Sant Martí,el Parc i la Llacuna del Poblenou,100.4,15204,NA,NA,3847.4,289.8,3821.2,286.3,0.0261
2013,Sant Martí,el Parc i la Llacuna del Poblenou,93.7,14513,1691.3,107,2107.9,161.1,2207.9,174.1,0.0445
2015,Sant Martí,el Parc i la Llacuna del Poblenou,96.8,14764,NA,NA,3001.6,196.5,3001.6,196.5,0.0322
2014,Sant Martí,el Parc i la Llacuna del Poblenou,88.6,14814,1498.4,100.9,2464.6,199.7,2652.5,218.9,0.0359
2013,Sant Martí,la Verneda i la Pau,56.1,29103,1614.8,105.8,1494.4,107.1,1471.3,107.3,0.0375
2016,Sant Martí,la Verneda i la Pau,58.8,28673,1972.2,116.6,1790.6,125.8,1770.9,126.8,0.0328
2017,Sant Martí,la Verneda i la Pau,57.0,28725,2417.2,134.2,2065.7,138.3,2026.4,138.8,0.0276
2014,Sant Martí,la Verneda i la Pau,57.2,28903,1516.8,86.6,1432,98.6,1418.7,100.5,0.0399
2015,Sant Martí,la Verneda i la Pau,57.5,28678,2529,227.6,2221.8,190.5,1657.6,122.2,0.0259
2015,Eixample,Sant Antoni,98.6,38248,2545.3,NA,3049.2,235.5,3063,236.8,0.0323
2016,Eixample,Sant Antoni,104.0,38182,NA,NA,3024.7,264.2,3024.7,264.2,0.0344
2014,Eixample,Sant Antoni,97.8,38369,NA,NA,2769.7,213.3,2769.7,213.3,0.0353
2013,Eixample,Sant Antoni,102.5,38299,NA,NA,2024.9,177.5,2024.9,177.5,0.0506
2017,Eixample,Sant Antoni,104.2,38412,NA,NA,3322.7,297.9,3322.7,297.9,0.0314
