"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor"
2015,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Total. Milers d'euros",196.5
2015,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Total. Milers d'euros",383.8
2015,10,"Sant Martí",68,"el Poblenou","Total. Milers d'euros",252.2
2015,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Total. Milers d'euros",590.3
2015,10,"Sant Martí",70,"el Besòs i el Maresme","Total. Milers d'euros",155.8
2015,10,"Sant Martí",71,"Provençals del Poblenou","Total. Milers d'euros",351.5
2015,10,"Sant Martí",72,"Sant Martí de Provençals","Total. Milers d'euros",274.3
2015,10,"Sant Martí",73,"la Verneda i la Pau","Total. Milers d'euros",190.5
2015,1,"Ciutat Vella",1,"el Raval","Nou. Milers d'euros",NA
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Nou. Milers d'euros",355.7
2015,1,"Ciutat Vella",3,"la Barceloneta","Nou. Milers d'euros",148
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Nou. Milers d'euros",349.6
2015,2,"Eixample",5,"el Fort Pienc","Nou. Milers d'euros",464.6
2015,2,"Eixample",6,"la Sagrada Família","Nou. Milers d'euros",NA
2015,2,"Eixample",7,"la Dreta de l'Eixample","Nou. Milers d'euros",179.5
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Nou. Milers d'euros",299.5
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Nou. Milers d'euros",560.5
2015,2,"Eixample",10,"Sant Antoni","Nou. Milers d'euros",NA
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Nou. Milers d'euros",NA
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Nou. Milers d'euros",NA
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Nou. Milers d'euros",NA
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Nou. Milers d'euros",NA
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Nou. Milers d'euros",111.3
