"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor"
2016,1,"Ciutat Vella",1,"el Raval","Total. Milers d'euros",181
2016,1,"Ciutat Vella",2,"el Barri Gòtic","Total. Milers d'euros",422.8
2016,1,"Ciutat Vella",3,"la Barceloneta","Total. Milers d'euros",212.2
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Total. Milers d'euros",293.1
2016,2,"Eixample",5,"el Fort Pienc","Total. Milers d'euros",356.1
2016,2,"Eixample",6,"la Sagrada Família","Total. Milers d'euros",205.9
2016,2,"Eixample",7,"la Dreta de l'Eixample","Total. Milers d'euros",398.4
2016,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Total. Milers d'euros",374.3
2016,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Total. Milers d'euros",266.4
2016,2,"Eixample",10,"Sant Antoni","Total. Milers d'euros",264.2
2016,3,"Sants-Montjuïc",11,"el Poble Sec","Total. Milers d'euros",155.2
2016,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Total. Milers d'euros",79.3
2016,3,"Sants-Montjuïc",13,"la Marina de Port","Total. Milers d'euros",151.1
2016,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Total. Milers d'euros",173.8
2016,3,"Sants-Montjuïc",15,"Hostafrancs","Total. Milers d'euros",199.1
2016,3,"Sants-Montjuïc",16,"la Bordeta","Total. Milers d'euros",155.9
2016,3,"Sants-Montjuïc",17,"Sants - Badal","Total. Milers d'euros",181.3
2016,3,"Sants-Montjuïc",18,"Sants","Total. Milers d'euros",222.8
2016,4,"Les Corts",19,"les Corts","Total. Milers d'euros",271.4
2016,4,"Les Corts",20,"la Maternitat i Sant Ramon","Total. Milers d'euros",329.9
2016,4,"Les Corts",21,"Pedralbes","Total. Milers d'euros",659.7
2016,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Total. Milers d'euros",438
2016,5,"Sarrià-Sant Gervasi",23,"Sarrià","Total. Milers d'euros",512.8
2016,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Total. Milers d'euros",680.4
2016,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Total. Milers d'euros",643.3
