"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor"
2014,1,"Ciutat Vella",1,"el Raval","Total. Milers d'euros",141.7
2014,1,"Ciutat Vella",2,"el Barri Gòtic","Total. Milers d'euros",277.7
2014,1,"Ciutat Vella",3,"la Barceloneta","Total. Milers d'euros",166
2014,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Total. Milers d'euros",193.2
2014,2,"Eixample",5,"el Fort Pienc","Total. Milers d'euros",320
2014,2,"Eixample",6,"la Sagrada Família","Total. Milers d'euros",145.3
2014,2,"Eixample",7,"la Dreta de l'Eixample","Total. Milers d'euros",385.4
2014,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Total. Milers d'euros",284.1
2014,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Total. Milers d'euros",257
2014,2,"Eixample",10,"Sant Antoni","Total. Milers d'euros",213.3
2014,3,"Sants-Montjuïc",11,"el Poble Sec","Total. Milers d'euros",95
2014,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Total. Milers d'euros",55.9
2014,3,"Sants-Montjuïc",13,"la Marina de Port","Total. Milers d'euros",126.3
2014,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Total. Milers d'euros",158.6
2014,3,"Sants-Montjuïc",15,"Hostafrancs","Total. Milers d'euros",142.6
2014,3,"Sants-Montjuïc",16,"la Bordeta","Total. Milers d'euros",132.3
2014,3,"Sants-Montjuïc",17,"Sants - Badal","Total. Milers d'euros",255.9
2014,3,"Sants-Montjuïc",18,"Sants","Total. Milers d'euros",151.2
2014,4,"Les Corts",19,"les Corts","Total. Milers d'euros",245.9
2014,4,"Les Corts",20,"la Maternitat i Sant Ramon","Total. Milers d'euros",285.7
2014,4,"Les Corts",21,"Pedralbes","Total. Milers d'euros",831.9
2014,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Total. Milers d'euros",468.3
2014,5,"Sarrià-Sant Gervasi",23,"Sarrià","Total. Milers d'euros",526.6
2014,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Total. Milers d'euros",570.7
2014,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Total. Milers d'euros",528.7
2014,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Total. Milers d'euros",467
2014,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Total. Milers d'euros",328.6
2014,6,"Gràcia",28,"Vallcarca i els Penitents","Total. Milers d'euros",199.8
2014,6,"Gràcia",29,"el Coll","Total. Milers d'euros",161.9
2014,6,"Gràcia",30,"la Salut","Total. Milers d'euros",227.3
2014,6,"Gràcia",31,"la Vila de Gràcia","Total. Milers d'euros",282.2
2014,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Total. Milers d'euros",267.1
2014,7,"Horta-Guinardó",33,"el Baix Guinardó","Total. Milers d'euros",201.1
2014,7,"Horta-Guinardó",34,"Can Baró","Total. Milers d'euros",178.3
2014,7,"Horta-Guinardó",35,"el Guinardó","Total. Milers d'euros",169.1
2014,7,"Horta-Guinardó",36,"la Font d'en Fargues","Total. Milers d'euros",206.2
2014,7,"Horta-Guinardó",37,"el Carmel","Total. Milers d'euros",119
2014,7,"Horta-Guinardó",38,"la Teixonera","Total. Milers d'euros",113.4
2014,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Total. Milers d'euros",89.8
2014,7,"Horta-Guinardó",40,"Montbau","Total. Milers d'euros",92.5
2014,7,"Horta-Guinardó",41,"la Vall d'Hebron","Total. Milers d'euros",156.4
2014,7,"Horta-Guinardó",42,"la Clota","Total. Milers d'euros",124.5
2014,7,"Horta-Guinardó",43,"Horta","Total. Milers d'euros",136
2014,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Total. Milers d'euros",134.7
2014,8,"Nou Barris",45,"Porta","Total. Milers d'euros",114.4
2014,8,"Nou Barris",46,"el Turó de la Peira","Total. Milers d'euros",101.7
2014,8,"Nou Barris",47,"Can Peguera","Total. Milers d'euros",NA
